City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Torbay,CA,74.17,scattered clouds,47.6666,-52.7314,Gallows Cove
3,Norman Wells,CA,55.44,overcast clouds,65.282,-126.8329,Heritage Hotel
4,Lagoa,PT,68.58,broken clouds,39.05,-27.9833,Casa Das Faias
5,Benito Juarez,MX,78.62,scattered clouds,19.385,-99.165,Hotel Beverly
7,Murdochville,CA,59.88,broken clouds,48.9583,-65.5006,Les Suites économique Murdochville
8,Atuona,PF,78.13,scattered clouds,-9.8,-139.0333,Villa Enata
9,Makokou,GA,70.27,scattered clouds,0.5738,12.8642,Hôtel
10,Bredasdorp,ZA,59.56,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
14,Ucluelet,CA,64.71,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
17,Rikitea,PF,72.79,light rain,-23.1203,-134.9692,People ThankYou
19,Jamestown,US,75.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Coquimbo,CL,55.13,drizzle,-29.9533,-71.3436,Hotel San Juan
25,Mpika,ZM,56.26,broken clouds,-11.8343,31.4529,Melodies Lodge
26,Katsuura,JP,75.16,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
28,Tuxpan,MX,74.97,overcast clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
29,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
30,Manavalakurichi,IN,78.53,overcast clouds,8.1333,77.3,Jebinrio home
31,Zhigansk,RU,63.45,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
35,Monte Santo,BR,70.5,broken clouds,-10.4378,-39.3328,Pousada Pingo D'Água
36,Longyearbyen,SJ,55.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
37,Caravelas,BR,71.1,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
38,Ponta Do Sol,PT,72.01,few clouds,32.6667,-17.1,Hotel do Campo
39,Cidreira,BR,57.04,clear sky,-30.1811,-50.2056,Hotel Castelo
41,Busselton,AU,61.61,light rain,-33.65,115.3333,Observatory Guest House
