City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanakuli,US,21.3906,-158.1547,87.75,51,20,12.66,few clouds
1,Torbay,CA,47.6666,-52.7314,74.17,49,40,20.71,scattered clouds
2,Hobart,AU,-42.8794,147.3294,39.06,91,75,6.91,broken clouds
3,Norman Wells,CA,65.282,-126.8329,55.44,82,100,11.5,overcast clouds
4,Lagoa,PT,39.05,-27.9833,68.58,93,67,15.37,broken clouds
5,Benito Juarez,MX,19.385,-99.165,78.62,27,40,9.22,scattered clouds
6,Fairmont,US,39.4851,-80.1426,86.92,48,36,1.01,scattered clouds
7,Murdochville,CA,48.9583,-65.5006,59.88,64,76,10.94,broken clouds
8,Atuona,PF,-9.8,-139.0333,78.13,73,26,19.04,scattered clouds
9,Makokou,GA,0.5738,12.8642,70.27,86,43,4.59,scattered clouds
10,Bredasdorp,ZA,-34.5322,20.0403,59.56,72,100,18.75,overcast clouds
11,Saskylakh,RU,71.9167,114.0833,46.69,61,99,10.27,overcast clouds
12,Male,MV,4.1748,73.5089,84.15,84,20,10.36,few clouds
13,Hamilton,US,39.1834,-84.5333,88.95,45,40,6.91,scattered clouds
14,Ucluelet,CA,48.9329,-125.5528,64.71,82,23,5.01,few clouds
15,Mataura,NZ,-46.1927,168.8643,41.49,98,100,3.83,overcast clouds
16,Butaritari,KI,3.0707,172.7902,82.54,77,72,17.07,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,72.79,79,89,9.26,light rain
18,Ushuaia,AR,-54.8,-68.3,35.26,64,75,5.75,broken clouds
19,Jamestown,US,42.097,-79.2353,75.02,56,75,8.05,broken clouds
20,Bathsheba,BB,13.2167,-59.5167,83.05,79,5,17.0,clear sky
21,Iqaluit,CA,63.7506,-68.5145,46.13,71,75,6.91,broken clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,13.8,overcast clouds
23,Nanortalik,GL,60.1432,-45.2371,44.67,81,100,2.33,overcast clouds
24,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,13.8,drizzle
25,Mpika,ZM,-11.8343,31.4529,56.26,62,80,6.85,broken clouds
26,Katsuura,JP,35.1333,140.3,75.16,92,100,9.84,overcast clouds
27,Ozark,US,37.0209,-93.206,95.29,28,9,3.0,clear sky
28,Tuxpan,MX,19.55,-103.4,74.97,84,100,4.16,overcast clouds
29,Hasaki,JP,35.7333,140.8333,73.8,89,95,13.65,overcast clouds
30,Manavalakurichi,IN,8.1333,77.3,78.53,80,100,18.25,overcast clouds
31,Zhigansk,RU,66.7697,123.3711,63.45,77,95,8.3,light rain
32,Mulege,MX,26.8833,-111.9833,94.95,47,0,12.15,clear sky
33,Punta Arenas,CL,-53.15,-70.9167,37.51,81,75,18.41,light rain
34,Lai,TD,9.3952,16.2989,73.47,80,100,2.39,overcast clouds
35,Monte Santo,BR,-10.4378,-39.3328,70.5,73,73,9.71,broken clouds
36,Longyearbyen,SJ,78.2186,15.6401,55.24,76,75,12.66,broken clouds
37,Caravelas,BR,-17.7125,-39.2481,71.1,87,4,4.63,clear sky
38,Ponta Do Sol,PT,32.6667,-17.1,72.01,76,12,3.85,few clouds
39,Cidreira,BR,-30.1811,-50.2056,57.04,76,0,19.01,clear sky
40,Dikson,RU,73.5069,80.5464,43.92,74,100,8.39,overcast clouds
41,Busselton,AU,-33.65,115.3333,61.61,80,35,17.05,light rain
42,Jilib,SO,0.4883,42.7854,75.43,84,92,11.59,overcast clouds
43,Teya,RU,60.3778,92.6267,47.68,81,98,1.92,overcast clouds
44,Sorland,NO,67.667,12.6934,53.46,88,100,7.56,overcast clouds
45,Avarua,CK,-21.2078,-159.775,75.25,60,75,12.66,broken clouds
46,Lavrentiya,RU,65.5833,-171.0,52.25,71,71,9.24,broken clouds
47,Bonthe,SL,7.5264,-12.505,76.06,89,94,8.03,light rain
48,Canico,PT,32.6333,-16.85,72.01,81,75,4.61,broken clouds
49,Zabaykalsk,RU,49.6333,117.3167,60.46,87,100,6.71,overcast clouds
50,Skegness,GB,53.1436,0.3363,62.06,76,98,4.81,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,38.84,96,100,5.68,light rain
52,Bethel,US,41.3712,-73.414,89.47,51,0,4.61,clear sky
53,Huarmey,PE,-10.0681,-78.1522,65.32,74,17,11.77,few clouds
54,Slyudyanka,RU,51.6594,103.7061,57.51,97,98,0.74,overcast clouds
55,Puro,PH,12.4841,123.3827,79.93,83,51,3.94,broken clouds
